2026-04-12 10:48:21.520 | INFO     | services.reranker.reranker:_get_cross_encoder:23 | Loading cross-encoder: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-04-12 10:49:06.477 | INFO     | services.reranker.reranker:_get_cross_encoder:25 | Cross-encoder loaded.
2026-04-12 10:49:06.477 | INFO     | app.dependencies:get_survey_pipeline:63 | Survey pipeline initialized
2026-04-12 10:49:06.477 | INFO     | config.vector_db_config:get_vector_store:49 | Loading vector store: collection='backend_collection', path='D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings'
2026-04-12 10:49:06.619 | INFO     | app.dependencies:get_backend_pipeline:74 | Backend pipeline initialized
2026-04-12 10:49:06.621 | INFO     | utils.logger:wrapper:67 | >> START -- Survey Report Pipeline
2026-04-12 10:49:06.623 | INFO     | utils.logger:wrapper:67 | >> START -- Backend Report Pipeline
2026-04-12 10:49:10.475 | WARNING  | models.llm.llm_loader:expand_query:199 | Query expansion failed: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.. Using fallback.
2026-04-12 10:49:10.475 | INFO     | models.llm.llm_loader:expand_query:203 | Using fallback query: Health health hospital disease medical mosquito dengue malaria clinic sanitation
2026-04-12 10:49:10.475 | INFO     | pipelines.survey_pipeline:run:52 | Expanded query: Health health hospital disease medical mosquito dengue malaria clinic sanitation...
2026-04-12 10:49:10.475 | INFO     | utils.logger:wrapper:67 | >> START -- Hybrid retrieval
2026-04-12 10:49:10.475 | WARNING  | models.llm.llm_loader:expand_query:199 | Query expansion failed: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.. Using fallback.
2026-04-12 10:49:10.479 | INFO     | utils.logger:wrapper:67 | >> START -- Vector retrieval
2026-04-12 10:49:10.479 | INFO     | models.llm.llm_loader:expand_query:203 | Using fallback query: Health health hospital disease medical mosquito dengue malaria clinic sanitation
2026-04-12 10:49:10.483 | INFO     | pipelines.backend_pipeline:run:49 | Expanded query: Health health hospital disease medical mosquito dengue malaria clinic sanitation...
2026-04-12 10:49:10.483 | INFO     | utils.logger:wrapper:67 | >> START -- Hybrid retrieval
2026-04-12 10:49:10.483 | INFO     | utils.logger:wrapper:67 | >> START -- Vector retrieval
2026-04-12 10:49:11.470 | INFO     | services.retriever.vector_retriever:retrieve:65 | Retrieved 40 documents (filter: ['Health'])
2026-04-12 10:49:11.473 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Vector retrieval (0.99s)
2026-04-12 10:49:11.474 | INFO     | services.retriever.hybrid_retriever:retrieve:68 | Filtered retrieval: 40 docs (categories: ['Health']...)
2026-04-12 10:49:11.474 | DEBUG    | services.retriever.hybrid_retriever:_deduplicate:109 | Dedup: 40 → 3 (removed 37)
2026-04-12 10:49:11.475 | INFO     | services.retriever.hybrid_retriever:retrieve:90 | Final result: 3 unique documents for 'Health' (backend)
2026-04-12 10:49:11.475 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Hybrid retrieval (0.99s)
2026-04-12 10:49:11.475 | INFO     | utils.logger:wrapper:67 | >> START -- Removing duplicates
2026-04-12 10:49:11.475 | INFO     | services.processor.duplicator:remove:61 | Removed 2 near-duplicates (3 → 1)
2026-04-12 10:49:11.475 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Removing duplicates (0.00s)
2026-04-12 10:49:11.475 | INFO     | utils.logger:wrapper:67 | >> START -- Tagging severity
2026-04-12 10:49:11.475 | INFO     | services.processor.severity_tagger:tag:64 | Severity distribution: {'high': 0, 'medium': 1, 'low': 0}
2026-04-12 10:49:11.478 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Tagging severity (0.00s)
2026-04-12 10:49:11.478 | INFO     | utils.logger:wrapper:67 | >> START -- Reranking documents
2026-04-12 10:49:11.478 | INFO     | services.reranker.reranker:rerank:63 | Only 1 docs (≤ top_k=10), skipping reranking
2026-04-12 10:49:11.478 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Reranking documents (0.00s)
2026-04-12 10:49:11.481 | INFO     | utils.logger:wrapper:67 | >> START -- Generating backend report
2026-04-12 10:49:11.481 | INFO     | services.retriever.vector_retriever:retrieve:65 | Retrieved 40 documents (filter: ['health', 'mosquito_breeding'])
2026-04-12 10:49:11.483 | INFO     | utils.logger:wrapper:67 | >> START -- Building context string
2026-04-12 10:49:11.484 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Vector retrieval (1.00s)
2026-04-12 10:49:11.484 | INFO     | utils.logger:wrapper:67 | >> START -- Clustering documents
2026-04-12 10:49:11.485 | INFO     | services.retriever.hybrid_retriever:retrieve:68 | Filtered retrieval: 40 docs (categories: ['health', 'mosquito_breeding']...)
2026-04-12 10:49:11.485 | INFO     | services.processor.clusterer:cluster:38 | Clustered 1 docs into 1 groups: {'Health': 1}
2026-04-12 10:49:11.486 | INFO     | services.retriever.hybrid_retriever:retrieve:90 | Final result: 20 unique documents for 'Health' (survey)
2026-04-12 10:49:11.487 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Clustering documents (0.00s)
2026-04-12 10:49:11.487 | SUCCESS  | utils.logger:wrapper:72 | OK DONE  -- Hybrid retrieval (1.01s)
2026-04-12 10:49:11.487 | INFO     | services.processor.clusterer:build_context:112 | Context built: 356 chars from 1 documents
